Name,Txn Name,Money Raised,Announced Date,Location,Industries,Description,Funding Type
SpaceX,Venture Round - SpaceX,"$1,724,965,480","May 24, 2022","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
Anduril Industries,Series E - Anduril Industries,"$1,480,000,000","Dec 2, 2022","Costa Mesa, California, United States, North America","Aerospace, Government, Military, National Security",Anduril Industries is a defense product company that builds technology for military agencies and border surveillance.,Series E
Sierra Space,Series A - Sierra Space,"$1,400,000,000","Nov 19, 2021","Louisville, Colorado, United States, North America","Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel, Transportation",Sierra Space is a commercial space company that specializes in the development of advanced space technologies and solutions.,Series A
OneWeb,Venture Round - OneWeb,"$1,250,000,000","Mar 18, 2019","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Venture - Series Unknown
SpaceX,Venture Round - SpaceX,"$850,000,000","Feb 16, 2021","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
Relativity Space,Series E - Relativity Space,"$650,000,000","Jun 8, 2021","Long Beach, California, United States, North America","3D Technology, Aerospace, Artificial Intelligence (AI), Manufacturing","Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.",Series E
OneWeb,Corporate Round - OneWeb,"$550,000,000","Apr 27, 2021","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Corporate Round
SpaceX,Venture Round - SpaceX,"$535,744,188","May 24, 2019","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
Relativity Space,Series D - Relativity Space,"$500,000,000","Nov 17, 2020","Long Beach, California, United States, North America","3D Technology, Aerospace, Artificial Intelligence (AI), Manufacturing","Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.",Series D
OneWeb,Corporate Round - OneWeb,"$500,000,000","Jun 29, 2021","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Corporate Round
Anduril Industries,Series D - Anduril Industries,"$450,000,000","Jun 17, 2021","Costa Mesa, California, United States, North America","Aerospace, Government, Military, National Security",Anduril Industries is a defense product company that builds technology for military agencies and border surveillance.,Series D
Wisk Aero,Corporate Round - Wisk Aero,"$450,000,000","Jan 24, 2022","Mountain View, California, United States, North America","Aerospace, Air Transportation, Sustainability, Transportation, Travel",Wisk is an urban air-mobility company on a mission to leave traffic on the ground and make sustainable flight a reality for everyday life.,Corporate Round
OneWeb,Venture Round - OneWeb,"$400,000,000","Jan 15, 2021","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Venture - Series Unknown
Beta Technologies,Series B - Beta Technologies,"$375,000,000","Apr 20, 2022","South Burlington, Vermont, United States, North America","Aerospace, Air Transportation, CleanTech, Manufacturing",Beta Technologies manufactures electric vertical takeoff and landing (eVTOL) aircraft and recharging pad systems.,Series B
Beta Technologies,Series A - Beta Technologies,"$368,000,000","May 18, 2021","South Burlington, Vermont, United States, North America","Aerospace, Air Transportation, CleanTech, Manufacturing",Beta Technologies manufactures electric vertical takeoff and landing (eVTOL) aircraft and recharging pad systems.,Series A
Axiom Space,Series C - Axiom Space,"$350,000,000","Aug 21, 2023","Houston, Texas, United States, North America","Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel",Axiom Space is a commercial space station company that connects to the ISS.,Series C
SpaceX,Venture Round - SpaceX,"$346,200,000","May 26, 2020","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
SpaceX,Venture Round - SpaceX,"$337,355,200","Dec 30, 2021","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
SpaceX,Venture Round - SpaceX,"$314,000,000","Apr 14, 2021","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
Shield AI,Series F - Shield AI,"$300,000,000","Oct 31, 2023","San Diego, California, United States, North America","Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security",Shield AI is an artificial intelligence company that aims to protect service members and civilians with intelligent systems.,Series F
Firefly Aerospace,Series C - Firefly Aerospace,"$300,000,000","Nov 10, 2023","Cedar Park, Texas, United States, North America","Aerospace, Air Transportation, Satellite Communication","Firefly Aerospace provides launch vehicles, spacecraft, and in-space services for small payloads.",Series C
OneWeb,Corporate Round - OneWeb,"$300,000,000","Aug 12, 2021","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Corporate Round
