"Notes","MMWR Week","MMWR Week Code","UCD - ICD Chapter","UCD - ICD Chapter Code",Deaths,Population,Crude Rate
,"2018 Week 01 ending January 06, 2018","2018/01","Neoplasms","C00-D48",10263,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Neoplasms","C00-D48",12408,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Neoplasms","C00-D48",11871,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Neoplasms","C00-D48",11812,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Neoplasms","C00-D48",11499,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Neoplasms","C00-D48",11912,Not Applicable,Not Applicable
,"2018 Week 07 ending February 17, 2018","2018/07","Neoplasms","C00-D48",11717,Not Applicable,Not Applicable
,"2018 Week 08 ending February 24, 2018","2018/08","Neoplasms","C00-D48",11515,Not Applicable,Not Applicable
,"2018 Week 09 ending March 03, 2018","2018/09","Neoplasms","C00-D48",11358,Not Applicable,Not Applicable
,"2018 Week 10 ending March 10, 2018","2018/10","Neoplasms","C00-D48",11640,Not Applicable,Not Applicable
,"2018 Week 11 ending March 17, 2018","2018/11","Neoplasms","C00-D48",11371,Not Applicable,Not Applicable
,"2018 Week 12 ending March 24, 2018","2018/12","Neoplasms","C00-D48",11489,Not Applicable,Not Applicable
,"2018 Week 13 ending March 31, 2018","2018/13","Neoplasms","C00-D48",11157,Not Applicable,Not Applicable
,"2018 Week 14 ending April 07, 2018","2018/14","Neoplasms","C00-D48",11385,Not Applicable,Not Applicable
,"2018 Week 15 ending April 14, 2018","2018/15","Neoplasms","C00-D48",11505,Not Applicable,Not Applicable
,"2018 Week 16 ending April 21, 2018","2018/16","Neoplasms","C00-D48",11260,Not Applicable,Not Applicable
,"2018 Week 17 ending April 28, 2018","2018/17","Neoplasms","C00-D48",11439,Not Applicable,Not Applicable
,"2018 Week 18 ending May 05, 2018","2018/18","Neoplasms","C00-D48",11548,Not Applicable,Not Applicable
,"2018 Week 19 ending May 12, 2018","2018/19","Neoplasms","C00-D48",11071,Not Applicable,Not Applicable
,"2018 Week 20 ending May 19, 2018","2018/20","Neoplasms","C00-D48",10995,Not Applicable,Not Applicable
,"2018 Week 21 ending May 26, 2018","2018/21","Neoplasms","C00-D48",11268,Not Applicable,Not Applicable
,"2018 Week 22 ending June 02, 2018","2018/22","Neoplasms","C00-D48",11130,Not Applicable,Not Applicable
,"2018 Week 23 ending June 09, 2018","2018/23","Neoplasms","C00-D48",11300,Not Applicable,Not Applicable
,"2018 Week 24 ending June 16, 2018","2018/24","Neoplasms","C00-D48",11215,Not Applicable,Not Applicable
,"2018 Week 25 ending June 23, 2018","2018/25","Neoplasms","C00-D48",11320,Not Applicable,Not Applicable
,"2018 Week 26 ending June 30, 2018","2018/26","Neoplasms","C00-D48",11276,Not Applicable,Not Applicable
,"2018 Week 27 ending July 07, 2018","2018/27","Neoplasms","C00-D48",11397,Not Applicable,Not Applicable
,"2018 Week 28 ending July 14, 2018","2018/28","Neoplasms","C00-D48",11142,Not Applicable,Not Applicable
,"2018 Week 29 ending July 21, 2018","2018/29","Neoplasms","C00-D48",11175,Not Applicable,Not Applicable
,"2018 Week 30 ending July 28, 2018","2018/30","Neoplasms","C00-D48",11384,Not Applicable,Not Applicable
,"2018 Week 31 ending August 04, 2018","2018/31","Neoplasms","C00-D48",11361,Not Applicable,Not Applicable
,"2018 Week 32 ending August 11, 2018","2018/32","Neoplasms","C00-D48",11444,Not Applicable,Not Applicable
,"2018 Week 33 ending August 18, 2018","2018/33","Neoplasms","C00-D48",11289,Not Applicable,Not Applicable
,"2018 Week 34 ending August 25, 2018","2018/34","Neoplasms","C00-D48",11550,Not Applicable,Not Applicable
,"2018 Week 35 ending September 01, 2018","2018/35","Neoplasms","C00-D48",11341,Not Applicable,Not Applicable
,"2018 Week 36 ending September 08, 2018","2018/36","Neoplasms","C00-D48",11220,Not Applicable,Not Applicable
,"2018 Week 37 ending September 15, 2018","2018/37","Neoplasms","C00-D48",11462,Not Applicable,Not Applicable
,"2018 Week 38 ending September 22, 2018","2018/38","Neoplasms","C00-D48",11635,Not Applicable,Not Applicable
,"2018 Week 39 ending September 29, 2018","2018/39","Neoplasms","C00-D48",11403,Not Applicable,Not Applicable
,"2018 Week 40 ending October 06, 2018","2018/40","Neoplasms","C00-D48",11637,Not Applicable,Not Applicable
,"2018 Week 41 ending October 13, 2018","2018/41","Neoplasms","C00-D48",11592,Not Applicable,Not Applicable
,"2018 Week 42 ending October 20, 2018","2018/42","Neoplasms","C00-D48",11622,Not Applicable,Not Applicable
,"2018 Week 43 ending October 27, 2018","2018/43","Neoplasms","C00-D48",11769,Not Applicable,Not Applicable
,"2018 Week 44 ending November 03, 2018","2018/44","Neoplasms","C00-D48",11685,Not Applicable,Not Applicable
,"2018 Week 45 ending November 10, 2018","2018/45","Neoplasms","C00-D48",11657,Not Applicable,Not Applicable
,"2018 Week 46 ending November 17, 2018","2018/46","Neoplasms","C00-D48",11694,Not Applicable,Not Applicable
,"2018 Week 47 ending November 24, 2018","2018/47","Neoplasms","C00-D48",11717,Not Applicable,Not Applicable
,"2018 Week 48 ending December 01, 2018","2018/48","Neoplasms","C00-D48",11388,Not Applicable,Not Applicable
,"2018 Week 49 ending December 08, 2018","2018/49","Neoplasms","C00-D48",11694,Not Applicable,Not Applicable
,"2018 Week 50 ending December 15, 2018","2018/50","Neoplasms","C00-D48",11895,Not Applicable,Not Applicable
,"2018 Week 51 ending December 22, 2018","2018/51","Neoplasms","C00-D48",11729,Not Applicable,Not Applicable
,"2018 Week 52 ending December 29, 2018","2018/52","Neoplasms","C00-D48",11423,Not Applicable,Not Applicable
,"2019 Week 01 ending January 05, 2019","2019/01","Neoplasms","C00-D48",11634,Not Applicable,Not Applicable
,"2019 Week 02 ending January 12, 2019","2019/02","Neoplasms","C00-D48",11864,Not Applicable,Not Applicable
,"2019 Week 03 ending January 19, 2019","2019/03","Neoplasms","C00-D48",11853,Not Applicable,Not Applicable
,"2019 Week 04 ending January 26, 2019","2019/04","Neoplasms","C00-D48",11709,Not Applicable,Not Applicable
,"2019 Week 05 ending February 02, 2019","2019/05","Neoplasms","C00-D48",11731,Not Applicable,Not Applicable
,"2019 Week 06 ending February 09, 2019","2019/06","Neoplasms","C00-D48",11693,Not Applicable,Not Applicable
,"2019 Week 07 ending February 16, 2019","2019/07","Neoplasms","C00-D48",11671,Not Applicable,Not Applicable
,"2019 Week 08 ending February 23, 2019","2019/08","Neoplasms","C00-D48",11748,Not Applicable,Not Applicable
,"2019 Week 09 ending March 02, 2019","2019/09","Neoplasms","C00-D48",11531,Not Applicable,Not Applicable
,"2019 Week 10 ending March 09, 2019","2019/10","Neoplasms","C00-D48",11828,Not Applicable,Not Applicable
,"2019 Week 11 ending March 16, 2019","2019/11","Neoplasms","C00-D48",11736,Not Applicable,Not Applicable
,"2019 Week 12 ending March 23, 2019","2019/12","Neoplasms","C00-D48",11510,Not Applicable,Not Applicable
,"2019 Week 13 ending March 30, 2019","2019/13","Neoplasms","C00-D48",11437,Not Applicable,Not Applicable
,"2019 Week 14 ending April 06, 2019","2019/14","Neoplasms","C00-D48",11458,Not Applicable,Not Applicable
,"2019 Week 15 ending April 13, 2019","2019/15","Neoplasms","C00-D48",11306,Not Applicable,Not Applicable
,"2019 Week 16 ending April 20, 2019","2019/16","Neoplasms","C00-D48",11237,Not Applicable,Not Applicable
,"2019 Week 17 ending April 27, 2019","2019/17","Neoplasms","C00-D48",11187,Not Applicable,Not Applicable
,"2019 Week 18 ending May 04, 2019","2019/18","Neoplasms","C00-D48",11334,Not Applicable,Not Applicable
,"2019 Week 19 ending May 11, 2019","2019/19","Neoplasms","C00-D48",11347,Not Applicable,Not Applicable
,"2019 Week 20 ending May 18, 2019","2019/20","Neoplasms","C00-D48",11513,Not Applicable,Not Applicable
,"2019 Week 21 ending May 25, 2019","2019/21","Neoplasms","C00-D48",11634,Not Applicable,Not Applicable
,"2019 Week 22 ending June 01, 2019","2019/22","Neoplasms","C00-D48",11283,Not Applicable,Not Applicable
,"2019 Week 23 ending June 08, 2019","2019/23","Neoplasms","C00-D48",11205,Not Applicable,Not Applicable
,"2019 Week 24 ending June 15, 2019","2019/24","Neoplasms","C00-D48",11471,Not Applicable,Not Applicable
,"2019 Week 25 ending June 22, 2019","2019/25","Neoplasms","C00-D48",11329,Not Applicable,Not Applicable
,"2019 Week 26 ending June 29, 2019","2019/26","Neoplasms","C00-D48",11420,Not Applicable,Not Applicable
,"2019 Week 27 ending July 06, 2019","2019/27","Neoplasms","C00-D48",11183,Not Applicable,Not Applicable
,"2019 Week 28 ending July 13, 2019","2019/28","Neoplasms","C00-D48",11360,Not Applicable,Not Applicable
,"2019 Week 29 ending July 20, 2019","2019/29","Neoplasms","C00-D48",11290,Not Applicable,Not Applicable
,"2019 Week 30 ending July 27, 2019","2019/30","Neoplasms","C00-D48",11377,Not Applicable,Not Applicable
,"2019 Week 31 ending August 03, 2019","2019/31","Neoplasms","C00-D48",11422,Not Applicable,Not Applicable
,"2019 Week 32 ending August 10, 2019","2019/32","Neoplasms","C00-D48",11336,Not Applicable,Not Applicable
,"2019 Week 33 ending August 17, 2019","2019/33","Neoplasms","C00-D48",11345,Not Applicable,Not Applicable
,"2019 Week 34 ending August 24, 2019","2019/34","Neoplasms","C00-D48",11429,Not Applicable,Not Applicable
,"2019 Week 35 ending August 31, 2019","2019/35","Neoplasms","C00-D48",11413,Not Applicable,Not Applicable
,"2019 Week 36 ending September 07, 2019","2019/36","Neoplasms","C00-D48",11384,Not Applicable,Not Applicable
,"2019 Week 37 ending September 14, 2019","2019/37","Neoplasms","C00-D48",11409,Not Applicable,Not Applicable
,"2019 Week 38 ending September 21, 2019","2019/38","Neoplasms","C00-D48",11276,Not Applicable,Not Applicable
,"2019 Week 39 ending September 28, 2019","2019/39","Neoplasms","C00-D48",11676,Not Applicable,Not Applicable
,"2019 Week 40 ending October 05, 2019","2019/40","Neoplasms","C00-D48",11446,Not Applicable,Not Applicable
,"2019 Week 41 ending October 12, 2019","2019/41","Neoplasms","C00-D48",11631,Not Applicable,Not Applicable
,"2019 Week 42 ending October 19, 2019","2019/42","Neoplasms","C00-D48",11686,Not Applicable,Not Applicable
,"2019 Week 43 ending October 26, 2019","2019/43","Neoplasms","C00-D48",11644,Not Applicable,Not Applicable
,"2019 Week 44 ending November 02, 2019","2019/44","Neoplasms","C00-D48",11591,Not Applicable,Not Applicable
,"2019 Week 45 ending November 09, 2019","2019/45","Neoplasms","C00-D48",11807,Not Applicable,Not Applicable
,"2019 Week 46 ending November 16, 2019","2019/46","Neoplasms","C00-D48",11636,Not Applicable,Not Applicable
,"2019 Week 47 ending November 23, 2019","2019/47","Neoplasms","C00-D48",11641,Not Applicable,Not Applicable
,"2019 Week 48 ending November 30, 2019","2019/48","Neoplasms","C00-D48",11316,Not Applicable,Not Applicable
