"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"2018 Week 01 ending January 06, 2018","2018/01",10263,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 02 ending January 13, 2018","2018/02",12408,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2018 Week 03 ending January 20, 2018","2018/03",11871,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 04 ending January 27, 2018","2018/04",11812,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 05 ending February 03, 2018","2018/05",11499,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 06 ending February 10, 2018","2018/06",11912,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 07 ending February 17, 2018","2018/07",11717,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 08 ending February 24, 2018","2018/08",11515,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 09 ending March 03, 2018","2018/09",11358,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 10 ending March 10, 2018","2018/10",11640,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 11 ending March 17, 2018","2018/11",11371,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 12 ending March 24, 2018","2018/12",11489,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 13 ending March 31, 2018","2018/13",11157,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 14 ending April 07, 2018","2018/14",11385,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 15 ending April 14, 2018","2018/15",11505,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 16 ending April 21, 2018","2018/16",11260,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 17 ending April 28, 2018","2018/17",11439,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 18 ending May 05, 2018","2018/18",11548,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 19 ending May 12, 2018","2018/19",11071,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 20 ending May 19, 2018","2018/20",10995,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 21 ending May 26, 2018","2018/21",11268,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 22 ending June 02, 2018","2018/22",11130,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 23 ending June 09, 2018","2018/23",11300,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 24 ending June 16, 2018","2018/24",11215,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 25 ending June 23, 2018","2018/25",11320,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 26 ending June 30, 2018","2018/26",11276,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 27 ending July 07, 2018","2018/27",11397,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 28 ending July 14, 2018","2018/28",11142,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 29 ending July 21, 2018","2018/29",11175,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 30 ending July 28, 2018","2018/30",11384,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 31 ending August 04, 2018","2018/31",11361,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 32 ending August 11, 2018","2018/32",11444,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 33 ending August 18, 2018","2018/33",11289,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 34 ending August 25, 2018","2018/34",11550,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 35 ending September 01, 2018","2018/35",11341,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 36 ending September 08, 2018","2018/36",11220,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 37 ending September 15, 2018","2018/37",11462,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 38 ending September 22, 2018","2018/38",11635,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 39 ending September 29, 2018","2018/39",11403,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 40 ending October 06, 2018","2018/40",11637,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 41 ending October 13, 2018","2018/41",11592,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 42 ending October 20, 2018","2018/42",11622,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 43 ending October 27, 2018","2018/43",11769,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 44 ending November 03, 2018","2018/44",11685,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 45 ending November 10, 2018","2018/45",11657,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 46 ending November 17, 2018","2018/46",11694,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 47 ending November 24, 2018","2018/47",11717,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 48 ending December 01, 2018","2018/48",11388,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 49 ending December 08, 2018","2018/49",11694,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 50 ending December 15, 2018","2018/50",11895,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 51 ending December 22, 2018","2018/51",11729,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2018 Week 52 ending December 29, 2018","2018/52",11423,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 01 ending January 05, 2019","2019/01",11634,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 02 ending January 12, 2019","2019/02",11864,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 03 ending January 19, 2019","2019/03",11853,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 04 ending January 26, 2019","2019/04",11709,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 05 ending February 02, 2019","2019/05",11731,Not Applicable,Not Applicable,Not Applicable,0.2%
