"Notes","MMWR Week","MMWR Week Code","UCD - ICD Sub-Chapter","UCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"2018 Week 01 ending January 06, 2018","2018/01","Malignant neoplasms","C00-C97",10263,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Malignant neoplasms","C00-C97",12408,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Malignant neoplasms","C00-C97",11871,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Malignant neoplasms","C00-C97",11812,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Malignant neoplasms","C00-C97",11499,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Malignant neoplasms","C00-C97",11912,Not Applicable,Not Applicable
,"2018 Week 07 ending February 17, 2018","2018/07","Malignant neoplasms","C00-C97",11717,Not Applicable,Not Applicable
,"2018 Week 08 ending February 24, 2018","2018/08","Malignant neoplasms","C00-C97",11515,Not Applicable,Not Applicable
,"2018 Week 09 ending March 03, 2018","2018/09","Malignant neoplasms","C00-C97",11358,Not Applicable,Not Applicable
,"2018 Week 10 ending March 10, 2018","2018/10","Malignant neoplasms","C00-C97",11640,Not Applicable,Not Applicable
,"2018 Week 11 ending March 17, 2018","2018/11","Malignant neoplasms","C00-C97",11371,Not Applicable,Not Applicable
,"2018 Week 12 ending March 24, 2018","2018/12","Malignant neoplasms","C00-C97",11489,Not Applicable,Not Applicable
,"2018 Week 13 ending March 31, 2018","2018/13","Malignant neoplasms","C00-C97",11157,Not Applicable,Not Applicable
,"2018 Week 14 ending April 07, 2018","2018/14","Malignant neoplasms","C00-C97",11385,Not Applicable,Not Applicable
,"2018 Week 15 ending April 14, 2018","2018/15","Malignant neoplasms","C00-C97",11505,Not Applicable,Not Applicable
,"2018 Week 16 ending April 21, 2018","2018/16","Malignant neoplasms","C00-C97",11260,Not Applicable,Not Applicable
,"2018 Week 17 ending April 28, 2018","2018/17","Malignant neoplasms","C00-C97",11439,Not Applicable,Not Applicable
,"2018 Week 18 ending May 05, 2018","2018/18","Malignant neoplasms","C00-C97",11548,Not Applicable,Not Applicable
,"2018 Week 19 ending May 12, 2018","2018/19","Malignant neoplasms","C00-C97",11071,Not Applicable,Not Applicable
,"2018 Week 20 ending May 19, 2018","2018/20","Malignant neoplasms","C00-C97",10995,Not Applicable,Not Applicable
,"2018 Week 21 ending May 26, 2018","2018/21","Malignant neoplasms","C00-C97",11268,Not Applicable,Not Applicable
,"2018 Week 22 ending June 02, 2018","2018/22","Malignant neoplasms","C00-C97",11130,Not Applicable,Not Applicable
,"2018 Week 23 ending June 09, 2018","2018/23","Malignant neoplasms","C00-C97",11300,Not Applicable,Not Applicable
,"2018 Week 24 ending June 16, 2018","2018/24","Malignant neoplasms","C00-C97",11215,Not Applicable,Not Applicable
,"2018 Week 25 ending June 23, 2018","2018/25","Malignant neoplasms","C00-C97",11320,Not Applicable,Not Applicable
,"2018 Week 26 ending June 30, 2018","2018/26","Malignant neoplasms","C00-C97",11276,Not Applicable,Not Applicable
,"2018 Week 27 ending July 07, 2018","2018/27","Malignant neoplasms","C00-C97",11397,Not Applicable,Not Applicable
,"2018 Week 28 ending July 14, 2018","2018/28","Malignant neoplasms","C00-C97",11142,Not Applicable,Not Applicable
,"2018 Week 29 ending July 21, 2018","2018/29","Malignant neoplasms","C00-C97",11175,Not Applicable,Not Applicable
,"2018 Week 30 ending July 28, 2018","2018/30","Malignant neoplasms","C00-C97",11384,Not Applicable,Not Applicable
,"2018 Week 31 ending August 04, 2018","2018/31","Malignant neoplasms","C00-C97",11361,Not Applicable,Not Applicable
,"2018 Week 32 ending August 11, 2018","2018/32","Malignant neoplasms","C00-C97",11444,Not Applicable,Not Applicable
,"2018 Week 33 ending August 18, 2018","2018/33","Malignant neoplasms","C00-C97",11289,Not Applicable,Not Applicable
,"2018 Week 34 ending August 25, 2018","2018/34","Malignant neoplasms","C00-C97",11550,Not Applicable,Not Applicable
,"2018 Week 35 ending September 01, 2018","2018/35","Malignant neoplasms","C00-C97",11341,Not Applicable,Not Applicable
,"2018 Week 36 ending September 08, 2018","2018/36","Malignant neoplasms","C00-C97",11220,Not Applicable,Not Applicable
,"2018 Week 37 ending September 15, 2018","2018/37","Malignant neoplasms","C00-C97",11462,Not Applicable,Not Applicable
,"2018 Week 38 ending September 22, 2018","2018/38","Malignant neoplasms","C00-C97",11635,Not Applicable,Not Applicable
,"2018 Week 39 ending September 29, 2018","2018/39","Malignant neoplasms","C00-C97",11403,Not Applicable,Not Applicable
,"2018 Week 40 ending October 06, 2018","2018/40","Malignant neoplasms","C00-C97",11637,Not Applicable,Not Applicable
,"2018 Week 41 ending October 13, 2018","2018/41","Malignant neoplasms","C00-C97",11592,Not Applicable,Not Applicable
,"2018 Week 42 ending October 20, 2018","2018/42","Malignant neoplasms","C00-C97",11622,Not Applicable,Not Applicable
,"2018 Week 43 ending October 27, 2018","2018/43","Malignant neoplasms","C00-C97",11769,Not Applicable,Not Applicable
,"2018 Week 44 ending November 03, 2018","2018/44","Malignant neoplasms","C00-C97",11685,Not Applicable,Not Applicable
,"2018 Week 45 ending November 10, 2018","2018/45","Malignant neoplasms","C00-C97",11657,Not Applicable,Not Applicable
,"2018 Week 46 ending November 17, 2018","2018/46","Malignant neoplasms","C00-C97",11694,Not Applicable,Not Applicable
,"2018 Week 47 ending November 24, 2018","2018/47","Malignant neoplasms","C00-C97",11717,Not Applicable,Not Applicable
,"2018 Week 48 ending December 01, 2018","2018/48","Malignant neoplasms","C00-C97",11388,Not Applicable,Not Applicable
,"2018 Week 49 ending December 08, 2018","2018/49","Malignant neoplasms","C00-C97",11694,Not Applicable,Not Applicable
,"2018 Week 50 ending December 15, 2018","2018/50","Malignant neoplasms","C00-C97",11895,Not Applicable,Not Applicable
,"2018 Week 51 ending December 22, 2018","2018/51","Malignant neoplasms","C00-C97",11729,Not Applicable,Not Applicable
,"2018 Week 52 ending December 29, 2018","2018/52","Malignant neoplasms","C00-C97",11423,Not Applicable,Not Applicable
,"2019 Week 01 ending January 05, 2019","2019/01","Malignant neoplasms","C00-C97",11634,Not Applicable,Not Applicable
,"2019 Week 02 ending January 12, 2019","2019/02","Malignant neoplasms","C00-C97",11864,Not Applicable,Not Applicable
,"2019 Week 03 ending January 19, 2019","2019/03","Malignant neoplasms","C00-C97",11853,Not Applicable,Not Applicable
,"2019 Week 04 ending January 26, 2019","2019/04","Malignant neoplasms","C00-C97",11709,Not Applicable,Not Applicable
,"2019 Week 05 ending February 02, 2019","2019/05","Malignant neoplasms","C00-C97",11731,Not Applicable,Not Applicable
,"2019 Week 06 ending February 09, 2019","2019/06","Malignant neoplasms","C00-C97",11693,Not Applicable,Not Applicable
,"2019 Week 07 ending February 16, 2019","2019/07","Malignant neoplasms","C00-C97",11671,Not Applicable,Not Applicable
,"2019 Week 08 ending February 23, 2019","2019/08","Malignant neoplasms","C00-C97",11748,Not Applicable,Not Applicable
,"2019 Week 09 ending March 02, 2019","2019/09","Malignant neoplasms","C00-C97",11531,Not Applicable,Not Applicable
,"2019 Week 10 ending March 09, 2019","2019/10","Malignant neoplasms","C00-C97",11828,Not Applicable,Not Applicable
,"2019 Week 11 ending March 16, 2019","2019/11","Malignant neoplasms","C00-C97",11736,Not Applicable,Not Applicable
,"2019 Week 12 ending March 23, 2019","2019/12","Malignant neoplasms","C00-C97",11510,Not Applicable,Not Applicable
