Year,Private Nonprofit Four-Year
1971,1830.0
1972,1950.0
1973,2050.0
1974,2130.0
1975,2290.0
1976,2530.0
1977,2700.0
1978,2960.0
1979,3230.0
1980,3620.0
1981,4110.0
1982,4640.0
1983,5090.0
1984,5560.0
1985,6120.0
1986,6660.0
1987,7050.0
1988,8000.0
1989,8660.0
1990,9340.0
1991,9810.0
1992,10450.0
1993,11010.0
1994,11720.0
1995,12220.0
1996,12990.0
1997,13790.0
1998,14710.0
1999,15520.0
2000,16070.0
2001,17380.0
2002,18060.0
2003,18950.0
2004,20050.0
2005,20980.0
2006,22310.0
2007,23420.0
2008,24820.0
2009,25740.0
2010,26770.0
2011,27880.0
2012,28990.0
2013,30130.0
2014,31280.0
2015,32340.0
2016,33500.0
2017,34710.0
2018,35680.0
2019,36880.0
2020,37270.0
2021,38070.0
2022,39940.0
2023,41540.0
